4019,20703
4280,13111
42731,12891
41401,12429
5849,9119
25000,9058
2724,8690
51881,7497
5990,6555
53081,6326
2720,5930
V053,5779
V290,5519
2859,5406
2449,4917
486,4839
2851,4552
2762,4528
496,4431
99592,3912
V5861,3806
0389,3725
5070,3680
V3000,3566
5859,3435
311,3431
40390,3421
3051,3358
412,3278
2875,3065
V4581,3056
41071,3055
2761,3039
4240,2926
V1582,2811
V3001,2758
5119,2734
V4582,2725
40391,2630
78552,2586
4241,2550
V5867,2538
42789,2453
32723,2380
9971,2343
5845,2287
2760,2272
7742,2264
49390,2195
2767,2169
